,Day,Date,team,team_opp,season,score,score_opp,home,result,Squad,# Pl,Age,MP,Starts,Gls,Ast,G+A,G-PK,PK,PKatt,Gls90,Ast90,G+A90,G-PK90,G+A-PK,Min%,Subs,Mn/Sub,PPM,onG,onGA,+/-,# Pl,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,SoT,SoT/90,G/SoT,Fls,Squad_opp,# Pl_opp,Age_opp,MP_opp,Starts_opp,Gls_opp,Ast_opp,G+A_opp,G-PK_opp,PK_opp,PKatt_opp,Gls90_opp,Ast90_opp,G+A90_opp,G-PK90_opp,G+A-PK_opp,season_opp,Min%_opp,Subs_opp,Mn/Sub_opp,PPM_opp,onG_opp,onGA_opp,+/-_opp,# Pl_opp,Min_opp,GA_opp,GA90_opp,SoTA_opp,Saves_opp,Save%_opp,W_opp,D_opp,L_opp,CS_opp,CS%_opp,SoT_opp,SoT/90_opp,G/SoT_opp,Fls_opp
20,Wed,2010-09-15,Spartak Moscow,Marseille,2010,1,0,0,1,Spartak Moscow,22,25.3,6,66,6,6,12,6,0,0,1.0,1.0,2.0,1.0,2.0,100,15,0,1.5,7,10,-3,1,540,10,1.67,26,16,61.5,3,0,3,2,33.3,25,4.17,0.24,87,Marseille,20,27.0,8,88,12,11,23,12,0,0,1.5,1.37,2.87,1.5,2.87,2010,100,20,0,1.63,13,5,8,1,720,5,0.62,24,19,79.2,4,1,3,5,62.5,40,5.0,0.3,106
21,Wed,2010-09-15,Roma,Bayern Munich,2010,0,2,0,0,Roma,25,29.7,8,84,12,8,20,10,2,3,1.5,1.0,2.5,1.25,2.25,100,18,0,1.25,12,17,-5,3,720,17,2.12,44,27,61.4,3,1,4,0,0.0,42,5.25,0.24,107,Bayern Munich,23,26.4,8,88,17,11,28,16,1,1,2.12,1.37,3.5,2.0,3.38,2010,100,15,0,2.38,19,9,10,2,720,9,1.13,46,37,80.4,6,1,1,4,50.0,56,7.0,0.29,113
22,Wed,2010-09-15,Auxerre,Milan,2010,0,2,0,0,Auxerre,20,27.3,8,66,3,2,5,3,0,0,0.37,0.25,0.62,0.37,0.62,100,16,0,0.5,5,13,-8,1,540,12,2.0,29,17,58.6,1,1,6,8,100.0,20,2.5,0.15,76,Milan,23,29.5,8,88,7,5,12,7,0,0,0.87,0.62,1.5,0.87,1.5,2010,100,23,0,1.13,7,8,-1,2,720,8,1.0,47,39,83.0,2,3,3,3,37.5,36,4.5,0.19,122
23,Wed,2010-09-15,Real Madrid,Ajax,2010,2,0,1,1,Real Madrid,26,25.7,12,132,24,20,44,23,1,1,2.0,1.67,3.67,1.92,3.58,100,33,0,2.08,25,6,19,3,1080,6,0.5,35,29,82.9,7,4,1,8,66.7,88,7.33,0.26,171,Ajax,17,24.2,10,66,6,4,10,6,0,0,0.6,0.4,1.0,0.6,1.0,2010,100,14,0,1.1,13,16,-3,1,540,10,1.67,45,35,77.8,2,5,3,1,10.0,27,2.7,0.22,81
24,Wed,2010-09-15,Arsenal,Braga,2010,6,0,1,1,Arsenal,25,24.8,8,88,20,13,33,17,3,4,2.5,1.62,4.12,2.12,3.75,100,23,0,1.88,21,11,10,3,720,11,1.37,43,32,74.4,5,0,3,1,12.5,46,5.75,0.37,130,Braga,21,27.6,10,66,5,4,9,5,0,0,0.5,0.4,0.9,0.5,0.9,2010,100,18,0,1.8,14,16,-2,2,540,11,1.83,30,19,63.3,6,0,4,3,30.0,25,2.5,0.2,102
25,Wed,2010-09-15,Milan,Auxerre,2010,2,0,1,1,Milan,23,29.5,8,88,7,5,12,7,0,0,0.87,0.62,1.5,0.87,1.5,100,23,0,1.13,7,8,-1,2,720,8,1.0,47,39,83.0,2,3,3,3,37.5,36,4.5,0.19,122,Auxerre,20,27.3,8,66,3,2,5,3,0,0,0.37,0.25,0.62,0.37,0.62,2010,100,16,0,0.5,5,13,-8,1,540,12,2.0,29,17,58.6,1,1,6,8,100.0,20,2.5,0.15,76
26,Wed,2010-09-15,Bayern Munich,Roma,2010,2,0,1,1,Bayern Munich,23,26.4,8,88,17,11,28,16,1,1,2.12,1.37,3.5,2.0,3.38,100,15,0,2.38,19,9,10,2,720,9,1.13,46,37,80.4,6,1,1,4,50.0,56,7.0,0.29,113,Roma,25,29.7,8,84,12,8,20,10,2,3,1.5,1.0,2.5,1.25,2.25,2010,100,18,0,1.25,12,17,-5,3,720,17,2.12,44,27,61.4,3,1,4,0,0.0,42,5.25,0.24,107
27,Wed,2010-09-15,Marseille,Spartak Moscow,2010,0,1,1,0,Marseille,20,27.0,8,88,12,11,23,12,0,0,1.5,1.37,2.87,1.5,2.87,100,20,0,1.63,13,5,8,1,720,5,0.62,24,19,79.2,4,1,3,5,62.5,40,5.0,0.3,106,Spartak Moscow,22,25.3,6,66,6,6,12,6,0,0,1.0,1.0,2.0,1.0,2.0,2010,100,15,0,1.5,7,10,-3,1,540,10,1.67,26,16,61.5,3,0,3,2,33.3,25,4.17,0.24,87
28,Wed,2010-09-15,MÅ K Å½ilina,Chelsea,2010,1,4,1,0,MÅ K Å½ilina,19,26.1,12,66,3,2,5,3,0,0,0.25,0.17,0.42,0.25,0.42,100,18,0,0.58,13,22,-9,1,540,19,3.17,48,29,60.4,1,4,7,0,0.0,13,1.08,0.23,83,Chelsea,25,27.5,10,110,17,10,27,15,2,2,1.7,1.0,2.7,1.5,2.5,2010,100,30,0,1.9,17,7,10,2,900,7,0.7,40,33,82.5,6,1,3,4,40.0,61,6.1,0.25,132
29,Wed,2010-09-15,Shakhtar,Partizan,2010,1,0,1,1,Shakhtar,22,24.9,10,110,19,14,33,18,1,1,1.9,1.4,3.3,1.8,3.2,100,29,0,2.0,19,14,5,1,900,14,1.4,55,41,74.5,6,2,2,5,50.0,54,5.4,0.33,178,Partizan,21,26.1,12,66,2,1,3,1,1,2,0.17,0.08,0.25,0.08,0.17,2010,100,16,0,1.17,15,19,-4,1,540,13,2.17,39,26,66.7,4,2,6,0,0.0,26,2.17,0.04,101
30,Wed,2010-09-15,Basel,CFR Cluj,2010,1,2,0,0,Basel,18,25.7,10,66,8,6,14,8,0,0,0.8,0.6,1.4,0.8,1.4,100,15,0,1.6,17,12,5,1,540,11,1.83,28,17,60.7,5,1,4,1,10.0,32,3.2,0.25,94,CFR Cluj,22,26.5,6,66,6,6,12,6,0,0,1.0,1.0,2.0,1.0,2.0,2010,100,17,0,0.67,6,12,-6,2,540,12,2.0,46,34,73.9,1,1,4,0,0.0,30,5.0,0.2,101
31,Wed,2010-09-15,CFR Cluj,Basel,2010,2,1,1,1,CFR Cluj,22,26.5,6,66,6,6,12,6,0,0,1.0,1.0,2.0,1.0,2.0,100,17,0,0.67,6,12,-6,2,540,12,2.0,46,34,73.9,1,1,4,0,0.0,30,5.0,0.2,101,Basel,18,25.7,10,66,8,6,14,8,0,0,0.8,0.6,1.4,0.8,1.4,2010,100,15,0,1.6,17,12,5,1,540,11,1.83,28,17,60.7,5,1,4,1,10.0,32,3.2,0.25,94
32,Tue,2010-09-28,Real Madrid,Auxerre,2010,1,0,0,1,Real Madrid,26,25.7,12,132,24,20,44,23,1,1,2.0,1.67,3.67,1.92,3.58,100,33,0,2.08,25,6,19,3,1080,6,0.5,35,29,82.9,7,4,1,8,66.7,88,7.33,0.26,171,Auxerre,20,27.3,8,66,3,2,5,3,0,0,0.37,0.25,0.62,0.37,0.62,2010,100,16,0,0.5,5,13,-8,1,540,12,2.0,29,17,58.6,1,1,6,8,100.0,20,2.5,0.15,76
